"Id","IdIndividu","IdEluRNEHisto","IdEluSenat","IdEluAssemblee","NomDeNaissance","Prenom","Sexe","DateNaissance","CommuneDeNaissance","DepartementDeNaissance","PaysDeNaissance","DateDeces","CommuneDeDeces","Nationalite","LibelleProfession","Sources","Divers"
"ain_001",NA,NA,NA,NA,"ABAD","DAMIEN","M",1980-04-05,"NIMES","GARD","France",NA,NA,"FRANCAISE","Charge d'etudes","WIKIPEDIA",NA
"ain_002",NA,NA,NA,NA,"ANDRE","RENE","M",NA,NA,NA,NA,NA,NA,NA,"Percepteur retraite","LE MONDE",NA
"ain_003",NA,NA,NA,NA,"ANTHONIOZ","MARCEL","M",1911-04-26,"DIVONNE LES BAINS","AIN","France",1976-08-31,"DIVONNE LES BAINS","FRANCAISE","Hotelier","ARCHIVES","RESISTANT"
"ain_004",NA,NA,NA,NA,"ARMAND","GERARD","M",1941-07-09,"LA MOTTE SERVOLEX","SAVOIE","France",2002-03-21,"AVIGNON","FRANCAISE","docteurs en medecine","ARCHIVES",NA
"ain_005",NA,NA,NA,NA,"BARBEROT","PAUL","M",1915-10-26,"LYON","BOUCHES DU RHONE","France",1997-07-05,NA,"FRANCAISE","Entrepreneur","ARCHIVES",NA
"ain_006",NA,NA,NA,NA,"BEAUFORT","JEAN","M",1928-02-04,"MEXIMIEUX","AIN","France",2017-01-01,NA,"FRANCAISE","Directeur maison de retraite","ARCHIVES WIKIPEDIA",NA
"ain_008","RNE_0106690","106690","08059E","NULL","BERTHOU","JACQUES","M",1940-03-03,"LYON","BOUCHES DU RHONE","France",NA,NA,"FRANCAISE","Ingenieur EDF","WIKIPEDIA",NA
"ain_010",NA,NA,NA,NA,"BERTRAND","JEAN MICHEL","M",1943-06-06,"BACCARAT","MEURTHE ET MOSELLE","France",2008-02-19,"PARIS","FRANCAISE","Pharmacien","WIKIPEDIA",NA
"ain_011",NA,NA,NA,NA,"BILLANDON","CHARLES","M",1921-12-24,"SAINT DIDIER SUR BEAUJEU",NA,"France",2008-01-01,NA,"FRANCAISE","Huissier","ARCHIVES",NA
"ain_012",NA,NA,NA,NA,"BILLIEMAZ","AUGUSTE","M",1903-08-29,"BREGNIER","AIN","France",1983-04-25,"BREGNIER","FRANCAISE","Chef entreprise","WIKIPEDIA",NA
"ain_013",NA,NA,NA,NA,"BLAISON","PIERRE","M",1903-06-28,NA,NA,NA,NA,NA,NA,"Ingenieur retraite","ARCHIVES",NA
"ain_014","RNE_0000794","794","NULL","PA267075","BLANC","ETIENNE","M",1954-08-29,"GIVORS","RHONE","France",NA,NA,"FRANCAISE","Avocat","WIKIPEDIA",NA
