NomDeNaissance;Prenom;Sexe;DateDeNaissance;TypeMandat;DateDebutMandat;DateFinMandat;MotifFinMandat;TypeFonction;DateDebutFonction;DateFinFonction;MotifFinFonction;NuancePolitique;IdTerritoire;NomTerritoire;TypeTerritoire;Sources
AHAMADA;SAID;M;07/11/1972;DEPUTE;21/06/2017;10/06/2022;FM;NA;NA;NA;NA;LREM;NA;7e CIRCONSCRIPTION BOUCHES DU RHONE;Circonscription législative;WIKIPEDIA
AHAMADA;SAID;M;07/11/1972;CONSEILLER MUNICIPAL;23/03/2014;10/03/2020;FM;NA;NA;NA;NA;ECO;NA;MARSEILLE;Commune;WIKIPEDIA
AILLAUD;THERESE;F;05/11/1931;DEPUTE;21/03/1993;20/05/1997;FM;NA;NA;NA;NA;RPR;NA;16e CIRCONSCRIPTION BOUCHES DU RHONE;Circonscription législative;WIKIPEDIA
AILLAUD;THERESE;F;05/11/1931;CONSEILLER MUNICIPAL;06/03/1983;10/03/1989;FM;M;06/03/1983;10/03/1989;FM;RPR;NA;TARASCON;Commune;WIKIPEDIA
AILLAUD;THERESE;F;05/11/1931;CONSEILLER MUNICIPAL;19/03/1989;10/06/1995;FM;M;19/03/1989;10/06/1995;FM;RPR;NA;TARASCON;Commune;WIKIPEDIA
AILLAUD;THERESE;F;05/11/1931;CONSEILLER MUNICIPAL;18/06/1995;10/03/2001;FM;M;18/06/1995;10/03/2001;FM;RPR;NA;TARASCON;Commune;WIKIPEDIA
AILLAUD;THERESE;F;05/11/1931;CONSEILLER MUNICIPAL;11/03/2001;01/06/2002;CONDAMNATION;M;11/03/2001;01/06/2002;CONDAMNATION;RPR;NA;TARASCON;Commune;WIKIPEDIA
AILLAUD;THERESE;F;05/11/1931;CONSEILLER DEPARTEMENTAL;10/03/1985;20/03/1992;FM;NA;NA;NA;NA;RPR;NA;TARASCON;Canton;WIKIPEDIA
AILLAUD;THERESE;F;05/11/1931;CONSEILLER DEPARTEMENTAL;22/03/1992;10/03/1998;FM;NA;NA;NA;NA;RPR;NA;TARASCON;Canton;WIKIPEDIA
AILLAUD;THERESE;F;05/11/1931;CONSEILLER DEPARTEMENTAL;15/03/1998;01/06/2002;CONDAMNATION;NA;NA;NA;NA;RPR;NA;TARASCON;Canton;WIKIPEDIA
