NomDeNaissance;Prenom;Sexe;DateNaissance;CommuneDeNaissance;DepartementDeNaissance;PaysDeNaissance;DateDeces;CommuneDeDeces;Nationalite;LibelleProfession;Sources;Divers
AGRESTI ROUBACHE;SABRINA;F;13/10/1976;MARSEILLE;BOUCHES DU RHONE;France;NON;NA;Français;Audiovisuel;WIKIPEDIA;
AHAMADA;SAID;M;07/11/1972;SAINT DENIS;LA REUNION;France;NON;NA;Français;Caisse des dépôts et consignations;WIKIPEDIA;
ALLISIO;FRANCK;M;04/08/1980;MARSEILLE;BOUCHES DU RHONE;France;NON;NA;Français;Entourage politique;WIKIPEDIA;
AILLAUD;THERESE;F;05/11/1931;TARASCON;BOUCHES DU RHONE;France;25/02/2015;TARASCON;Français;Chef-fe cabinet;WIKIPEDIA;
AMIEL;MICHEL;M;03/07/1954;CANNES;ALPES MARITIMES;France;NON;NA;Français;Medecin;WIKIPEDIA;
ANDREONI;SERGE;M;15/03/1940;NA;NA;NA;NON;NA;Français;Medecin;WIKIPEDIA;
ANDRIEUX;ANTOINE;M;30/09/1916;BASTIA;CORSE;France;10/05/1983;MARSEILLE;Français;Chauffeur taxi;WIKIPEDIA;
ANDRIEUX;SYLVIE;F;15/12/1961;MARSEILLE;BOUCHES DU RHONE;France;NON;NA;Français;NA;WIKIPEDIA;franc-maçon
ARNAUD;HENRI;M;22/05/1915;MARSEILLE;BOUCHES DU RHONE;France;03/08/2000;MARSEILLE;Français;NA;WIKIPEDIA;
ARRIGHI;PASCAL;M;16/06/1921;VICO;CORSE;France;19/08/2004;TOULON;Français;Avocat;WIKIPEDIA;Resistance
ASSOULY;AVI;M;05/06/1950;AIN EL ARBAA;NA;Algérie;NON;NA;Français;Journaliste;WIKIPEDIA;
BACCHI;JEREMY;M;08/03/1986;MARSEILLE;BOUCHES DU RHONE;France;NON;NA;Français;Assistant-e social;WIKIPEDIA;
BAUBRY;ROMAIN;M;28/01/1989;MONT SAINT AIGNAN;SEINE MARITIME;France;NON;NA;Français;Policier-e;WIKIPEDIA;
BELSOSA;LAURENT;M;12/01/1970;NA;NA;France;NON;NA;Français;Cadre fonction publique;PRESSE;
BENARROCHE;GUY;M;25/07/1954;ORAN;NA;Algérie;NON;NA;Français;Chef-fe entreprise;WIKIPEDIA;
BENDER;ALFRED;M;NA;NA;NA;NA;NA;NA;NA;Directeur école;WIKIPEDIA;
BERGASSE;HENRY;M;26/09/1894;MARSEILLE;BOUCHES DU RHONE;France;28/03/1977;MARSEILLE;Français;Avocat;WIKIPEDIA;Resistance
BERNARDINI;FRANCOIS;M;24/08/1953;MARSEILLE;BOUCHES DU RHONE;France;NON;NA;Français;Presse;WIKIPEDIA;
BERTRAND;ANNE MARIE;F;27/11/1942;GRAVESON;BOUCHES DU RHONE;France;NON;NA;Français;Agriculteur-ice;WIKIPEDIA;
BILLOUX;FRANCOIS;M;21/05/1903;ROMAIN LA MOTTE;LOIRE;France;14/01/1978;MENTON;Français;Employé-e;WIKIPEDIA;
BLUM;ROLAND;M;12/07/1945;PENNES MIRABEAU;BOUCHES DU RHONE;France;NON;NA;Français;Avocat;WIKIPEDIA;
BOMPARD;MANUEL;M;30/03/1986;FIRMINY;LOIRE;France;NON;NA;Français;Ingénieur-e;WIKIPEDIA;
BONIFAY;CHARLES;M;19/07/1919;MARSEILLE;BOUCHES DU RHONE;France;28/01/2017;MARSEILLE;Français;NA;WIKIPEDIA;
BORE;PATRICK;M;09/11/1956;TOULON;VAR;France;05/07/2021;LA CIOTAT;Français;Pharmacien-ne;WIKIPEDIA;
BOYER;VALERIE;F;11/06/1962;BOURGES;CHER;France;NON;NA;Français;Cadre;WIKIPEDIA;
BRET;ROBERT;M;10/04/1949;NA;NA;NA;NON;NA;Français;Dessinateur-ice BTP;WIKIPEDIA;
BURRONI;VINCENT;M;01/10/1947;CHATEAUNEUF LES MARTIGUES;BOUCHES DU RHONE;France;NON;NA;Français;NA;WIKIPEDIA;
CAMOIN;JEAN PIERRE;M;09/05/1942;NA;NA;NA;NON;NA;Français;Medecin;WIKIPEDIA;
CARCASSONNE;ROGER;M;15/06/1903;SALON DE PROVENCE;BOUCHES DU RHONE;France;28/11/1992;SALON DE PROVENCE;Français;Avocat;WIKIPEDIA;
