IdIndividu;IdEluRNEHisto;IdEluSenat;IdEluAssemblee;NomDeNaissance;Prenom;Sexe;DateNaissance;CommuneDeNaissance;DepartementDeNaissance;PaysDeNaissance;DateDeces;CommuneDeDeces;Nationalite;LibelleProfession;Sources;Divers
;NA;NA;NA;ABAD;DAMIEN;M;05/04/1980;NIMES;GARD;France;NON;NA;FRANCAISE;Charge d'etudes;WIKIPEDIA;
;NA;NA;NA;ANDRE;RENE;M;NA;NA;NA;NA;NA;NA;NA;Percepteur retraite;LE MONDE;
;NA;NA;NA;ANTHONIOZ;MARCEL;M;26/04/1911;DIVONNE LES BAINS;AIN;France;31/08/1976;DIVONNE LES BAINS;FRANCAISE;Hotelier;ARCHIVES;RESISTANT
;NA;NA;NA;ARMAND;GERARD;M;09/07/1941;LA MOTTE SERVOLEX;SAVOIE;France;21/03/2002;AVIGNON;FRANCAISE;docteurs en medecine;ARCHIVES;
;NA;NA;NA;BARBEROT;PAUL;M;26/10/1915;LYON;BOUCHES DU RHONE;France;05/07/1997;NA;FRANCAISE;Entrepreneur;ARCHIVES;
;NA;NA;NA;BEAUFORT;JEAN;M;04/02/1928;MEXIMIEUX;AIN;France;01/01/2017;NA;FRANCAISE;Directeur maison de retraite;ARCHIVES WIKIPEDIA;
RNE_0106690;106690;08059E;NULL;BERTHOU;JACQUES;M;03/03/1940;LYON;BOUCHES DU RHONE;France;NA;NA;FRANCAISE;Ingenieur EDF;WIKIPEDIA;
;NA;NA;NA;BERTRAND;JEAN MICHEL;M;06/06/1943;BACCARAT;MEURTHE ET MOSELLE;France;19/02/2008;PARIS;FRANCAISE;Pharmacien;WIKIPEDIA;
;NA;NA;NA;BILLANDON;CHARLES;M;24/12/1921;SAINT-DIDIER-sur-BEAUJEU;NA;France;01/01/2008;NA;FRANCAISE;Huissier;ARCHIVES;
;NA;NA;NA;BILLIEMAZ;AUGUSTE;M;29/08/1903;BREGNIER;AIN;France;25/04/1983;BREGNIER;FRANCAISE;Chef entreprise;WIKIPEDIA;
;NA;NA;NA;BLAISON;PIERRE;M;28/06/1903;NA;NA;NA;NA;NA;NA;Ingenieur retraite;ARCHIVES;
RNE_0000794;794;NULL;PA267075;BLANC;ETIENNE;M;29/08/1954;GIVORS;RHONE;France;NA;NA;FRANCAISE;Avocat;WIKIPEDIA;
;NA;NA;NA;BLATRIX CONTAT;FLORENCE;F;30/03/1966;BOURG EN BRESSE;AIN;France;NA;NA;FRANCAISE;Professeur;WIKIPEDIA;
;NA;NA;NA;BOLLIET;GILLES;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;NA;NA;NA;BOYON;JACQUES;M;30/09/1934;NANTES;LOIRE ATLANTIQUE;France;15/01/2019;COURBEVOIE;FRANCAISE;Conseiller technique;ARCHIVES;
;NA;NA;NA;BUISSON;JEROME;M;15/01/1973;ROANNE;LOIRE;France;NA;NA;FRANCAISE;Professeur;WIKIPEDIA;
;NA;NA;NA;BRAYARD;JOSEPH;M;31/03/1901;VESCOURS;AIN;France;03/07/1972;REYSSOUZE;FRANCAISE;NA;WIKIPEDIA;
;NA;NA;NA;BRETON ;XAVIER;M;25/11/1962;DARNEY;VOSGES;France;NA;NA;FRANCAISE;Courtier;WIKIPEDIA;
;NA;NA;NA;BUY;ANTOINE;M;22/08/1907;NA;NA;NA;NA;NA;NA;retraite sncf;ARCHIVES;
;NA;NA;NA;CADOZ;MARIUS;M;30/12/1914;BOURG EN BRESSE;AIN;France;NA;NA;FRANCAISE;Directeur entreprise TP;ARCHIVES;
;NA;NA;NA;CARRIER;MICHEL;M;02/10/1906;OYONNAX;AIN;France;05/01/1981;NANTUA;FRANCAISE;Agriculteur proprietaire exploitant;ARCHIVES;
;NA;NA;NA;CHAIZE;PATRICK;M;22/03/1963;SAINT SYMPHORIEN D OZON;RHONE;France;NA;NANTUA;FRANCAISE;Attache-e parlementaire;WIKIPEDIA;
;NA;NA;NA;CHASTEL;PAUL;M;28/01/1905;NA;NA;NA;NA;NA;NA;Notaire;ARCHIVES;
;NA;NA;NA;CHAVANNE;GUY;M;21/04/1935;PIERRE BENITE;RHONE;France;NA;NA;NA;Professeur;LE MAITRON;
;NA;NA;NA;COMBIER;PAUL;M;01/01/1933;NA;NA;NA;08/12/2015;AMBERIEU EN BUGEY;NA;Geometre;NA;
;NA;NA;NA;DAUBIE;ROMAIN;M;05/05/1980;VILLEURBANNE;RHONE;France;NON;NA;FRANCAISE;Avocat;WIKIPEDIA;
SEN_058913V;NULL;58913V;NULL;DE LA VERPILLIERE;GUY;M;09/08/1922;LAGNIEU;AIN;France;25/04/2006;LAGNIEU;FRANCAISE;Agriculteur proprietaire exploitant;ARCHIVES;PARENT D'ELU
RNE_0106732;106732;NULL;PA1012;DE LA VERPILLIERE;CHARLES;M;31/05/1954;BOURG EN BRESSE;AIN;France;NA;NA;FRANCAISE;Haut fonctionnaire;WIKIPEDIA;ENFANT D'ELU
;NA;NA;NA;DESPIERRE;RENE;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;NA;NA;NA;DUBUIS;EMILE;M;20/03/1911;NA;NA;NA;NA;NA;NA;Avocat;ARCHIVES;
;NA;NA;NA;DURET;LUCIENNE;F;22/02/1922;NA;NA;NA;NA;NA;NA;NA;NA;
;NA;NA;NA;EMIN;LEON;M;11/07/1903;OYONNAX;AIN;France;NA;NA;FRANCAISE;Industriel;ARCHIVES;
;NA;NA;NA;EMIN;JEAN-PAUL;M;17/06/1939;NA;NA;NA;NA;NA;FRANCAISE;Directeur commercial;WIKIPEDIA;
;NA;NA;NA;GIVERNET;OLGA;F;17/10/1981;SAINT GERMAIN EN LAYE;YVELINES;France;NON;NA;FRANCAISE;Ingenieur-e;WIKIPEDIA;
;NA;NA;NA;GODIN;ANDRE;M;18/05/1942;BOURG EN BRESSE;AIN;France;NA;NA;FRANCAISE;Banquier;ARCHIVES WIKIPEDIA;
;NA;NA;NA;GOY-CHAVENT;SYLVIE;F;23/05/1963;DUNKERQUE;NORD;France;NA;NA;FRANCAISE;Enseignant;WIKIPEDIA;
;NA;NA;NA;GRILLET;ARISTIDE;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;NA;NA;NA;GUICHON;LUCIEN;M;09/02/1932;OYONNAX;AIN;France;18/08/2012;OYONNAX;FRANCAISE;NA;WIKIPEDIA;
;NA;NA;NA;HECLER;ALBERT;M;01/01/1889;NA;NA;NA;01/01/1966;NA;FRANCAISE;NA;WIKIPEDIA;
;NA;NA;NA;HUBERT;BERTRAND;M;05/12/1946;NA;NA;NA;NA;NA;NA;Artisan;WIKIPEDIA;
;NA;NA;NA;JEAN;LISETTE;F;NA;NA;NA;NA;NA;NA;NA;NA;NA;
;NA;NA;NA;MARCELPOIL;ROBERT;M;NA;NA;NA;NA;22/12/1991;NA;NA;Chef entreprise;WIKIPEDIA;
;NA;NA;NA;MAZUIR;RACHEL;M;12/02/1940;BOURG EN BRESSE;AIN;France;NA;NA;FRANCAISE;Professeurs EPS;WIKIPEDIA;
;NA;NA;NA;MEIFFRE;JEAN CHARLES;M;18/04/1908;NA;NA;NA;01/01/1996;NA;NA;Officier en retraite;ARCHIVES;
;NA;NA;NA;MERCIER;AMEDEE;M;02/12/1890;MALAFRETAZ;AIN;France;04/05/1973;BOURG EN BRESSE;FRANCAISE;Greffier;WIKIPEDIA;
;NA;NA;NA;MEYLAN;PASCAL;M;01/05/1935;FERNEY VOLTAIRE;AIN;France;04/08/2020;FERNEY VOLTAIRE;FRANCAISE;Clerc de notaire;ARCHIVES;ANCIEN COMBATTANT
;NA;NA;NA;MILLON;CHARLES;M;12/11/1945;BELLEY;AIN;France;NA;NA;FRANCAISE;Conseiller juridique et fiscal;WIKIPEDIA;MINISTRE DE LA DEFENSE
;NA;NA;NA;MORETEAU;JEAN;M;23/06/1942;MONTREVEL;NA;NA;NA;NA;NA;NA;WIKIPEDIA;
;NA;NA;NA;MORIN;PAUL;M;29/06/1924;BOURG EN BRESSE;AIN;France;28/07/2020;BOURG EN BRESSE;FRANCAISE;Directeur adjoint CES;ARCHIVES WIKIPEDIA;RESISTANT
;NA;NA;NA;NICOD;MICHEL;M;08/10/1939;NA;NA;NA;NA;NA;NA;Chef entreprise;NA;
;NA;NA;NA;PAOLI;GERARD;M;09/03/1945;NA;NA;NA;NA;NA;NA;NA;WIKIPEDIA;
;NA;NA;NA;PEPIN;JEAN;M;23/11/1939;VILLEFRANCHE SUR SAONE;RHONE;France;03/05/2015;VIRIAT;FRANCAISE;Professeur;ARCHIVES;
;NA;NA;NA;PIRALLA;GILLES;M;05/10/1949;NA;NA;NA;NA;NA;NA;Medecins;WIKIPEDIA;
;NA;NA;NA;PROST;JEAN;M;26/10/1925;DIVONNE LES BAINS;AIN;France;NA;NA;FRANCAISE;Kinesitherapeute;ARCHIVES;
;NA;NA;NA;PRUVOST;JEAN CLAUDE;M;NA;NA;NA;NA;NA;NA;NA;Professeurs;WIKIPEDIA;
;NA;NA;NA;RAVASSARD;NOEL;M;25/07/1935;BUELLAS;AIN;France;NA;NA;FRANCAISE;Directeur de college d'enseignement secondaire;WIKIPEDIA;
;NA;NA;NA;ROBIN ;LOUIS;M;01/05/1923;MARBOZ;AIN;France;10/11/2014;NA;FRANCAISE;NA;WIKIPEDIA;
SEN_058928D;NULL;58928D;NULL;RUET;ROLAND;M;29/10/1921;FERNEY VOLTAIRE;AIN;France;26/01/2001;SAINT JULIEN EN GENEVOIS;FRANCAISE;Directeur de societe;ARCHIVES, WIKIPEDIA;
;NA;NA;NA;SAINT PIERRE;DOMINIQUE;M;10/11/1940;LA TRONCHE;ISERE;France;NA;NA;FRANCAISE;Avocat;WIKIPEDIA;
